id,name,role_description,init_att,gender,age,status,traits,interest,relation
110,Finnian Tucker,"Finnian Tucker is a 39-year-old male Housekeeping Supervisor who is generous, balanced, friendly, organized, curious, and has interests of joining social causes, stargazing, going to parties, learning new skills, new languages.",0.0133718,male,39,Housekeeping Supervisor,generous;balanced;friendly;organized;curious,joining social causes;stargazing;going to parties;learning new skills;new languages,"['Ian Hunter', 'Adam Diaz', 'Amaya Wood', 'Novah Haynes', 'Khalil Elliott']"
704,Alina Rice,"Alina Rice is a 37-year-old male Operations Manager who is reliable, open-minded, lively, compassionate, and has interests of learning new skills, attending workshops, traveling, teaching.",0.0425275,male,37,Operations Manager,reliable;open-minded;lively;compassionate,learning new skills;attending workshops;traveling;teaching,"['Ian Hunter', 'Quincy Brooks', 'Bella Perez', 'Carter Kennedy']"
630,Colton Perkins,"Colton Perkins is a 36-year-old female Content Writer who is sociable, secure, empathetic, versatile, and has interests of participating in group activities, playing musical instruments, encouraging teamwork, exploring.",0.194443,female,36,Content Writer,sociable;secure;empathetic;versatile,participating in group activities;playing musical instruments;encouraging teamwork;exploring,"['Ian Hunter', 'Quincy Brooks', 'Lila Jackson']"
977,Finn Nguyen,"Finn Nguyen is a 51-year-old male Logistics Coordinator who is disciplined, generous, friendly, and has interests of improving efficiency, advocating for others, socializing.",0.062034,male,51,Logistics Coordinator,disciplined;generous;friendly,improving efficiency;advocating for others;socializing,"['Ian Hunter', 'Callan Sutton']"
609,Josiah Fleming,"Josiah Fleming is a 34-year-old female Criminal Investigator who is kind, original, disciplined, steady, and has interests of empowering others, virtual reality, goal setting, journaling.",0.2166568,female,34,Criminal Investigator,kind;original;disciplined;steady,empowering others;virtual reality;goal setting;journaling,"['Abigail Morales', 'Adam Diaz', 'Callan Huffman', 'Jeremiah Wallace', 'Rex Payne']"
885,Tatum Rodriguez,"Tatum Rodriguez is a 54-year-old male School Counselor who is relaxed, considerate, creative, and has interests of stargazing, collaborating on projects, new technology.",-0.0052335,male,54,School Counselor,relaxed;considerate;creative,stargazing;collaborating on projects;new technology,"['Ian Hunter', 'Miles Rose', 'Isaac Santiago', 'Harper Haynes']"
183,Colton Stone,"Colton Stone is a 34-year-old male Education Policy Analyst who is diligent, open-minded, sociable, and has interests of organizing, new cultures, meeting new people.",0.0889549,male,34,Education Policy Analyst,diligent;open-minded;sociable,organizing;new cultures;meeting new people,"['Ian Hunter', 'Quincy Brooks']"
752,Lila Jackson,"Lila Jackson is a 20-year-old female Editor who is reliable, outgoing, level-headed, compassionate, and has interests of documenting progress, socializing, nature walks, joining social causes.",0.3592704,female,20,Editor,reliable;outgoing;level-headed;compassionate,documenting progress;socializing;nature walks;joining social causes,"['Colton Perkins', 'Miles Rose', 'Amaya Thomas', 'Lacey Bryant', 'Micah Cole']"
903,Callan Huffman,"Callan Huffman is a 20-year-old female Traffic Engineer who is responsible, friendly, balanced, and has interests of implementing systems, hiking, painting.",0.1418739,female,20,Traffic Engineer,responsible;friendly;balanced,implementing systems;hiking;painting,"['Ian Hunter', 'Josiah Fleming', 'Lacey Bryant']"
395,Aaliyah Stone,"Aaliyah Stone is a 37-year-old male UX/UI Designer who is detail-oriented, kind, lively, and has interests of researching, spreading kindness, meeting new people.",-0.0520091,male,37,UX/UI Designer,detail-oriented;kind;lively,researching;spreading kindness;meeting new people,"['Callan Sutton', 'Damian May', 'Wren Lowe', 'Gideon Carlson', 'Lily Graves', 'Damian Dawson', 'Sebastian Hughes']"
787,Amaya Thomas,"Amaya Thomas is a 23-year-old male Consultant who is efficient, unconventional, outgoing, understanding, and has interests of tracking progress, experimenting, meeting new people, participating in group activities.",0.0064645,male,23,Consultant,efficient;unconventional;outgoing;understanding,tracking progress;experimenting;meeting new people;participating in group activities,"['Lila Jackson', 'Adam Diaz', 'Lucy Bailey', 'Micah Freeman', 'Emma Lynch', 'Darius Jackson']"
255,Stella Hayes,"Stella Hayes is a 41-year-old female Community Liaison Officer who is broad-minded, understanding, detail-oriented, enthusiastic, and has interests of attending lectures, counseling, planning, hosting events.",-0.0187826,female,41,Community Liaison Officer,broad-minded;understanding;detail-oriented;enthusiastic,attending lectures;counseling;planning;hosting events,"['Ian Hunter', 'Adam Diaz']"
982,Wren Lowe,"Wren Lowe is a 21-year-old male Traffic Engineer who is lively, secure, creative, thorough, friendly, and has interests of volunteering, gardening, diverse literature, tracking progress, organizing events.",-0.3335513,male,21,Traffic Engineer,lively;secure;creative;thorough;friendly,volunteering;gardening;diverse literature;tracking progress;organizing events,"['Aaliyah Stone', 'Damian Huffman', 'Gideon Martin']"
25,Aisling Garza,"Aisling Garza is a 26-year-old female Restaurant Manager who is creative, adventurous, calm, efficient, trustworthy, and has interests of new languages, joining clubs, listening to music, goal setting, participating in group activities.",-0.2546105,female,26,Restaurant Manager,creative;adventurous;calm;efficient;trustworthy,new languages;joining clubs;listening to music;goal setting;participating in group activities,"['Quincy Brooks', 'Miles Rose', 'Felix Dunn']"
70,Gideon Martin,"Gideon Martin is a 31-year-old male Crime Scene Technician who is sociable, responsible, empathetic, level-headed, and has interests of traveling, goal setting, mentoring, reading.",0.0620829,male,31,Crime Scene Technician,sociable;responsible;empathetic;level-headed,traveling;goal setting;mentoring;reading,"['Wren Lowe', 'Damian Huffman', 'Sebastian Ward', 'Samara Vasquez', 'Micah Freeman']"
40,Willow Payne,"Willow Payne is a 43-year-old male Operations Manager who is secure, organized, generous, unconventional, and has interests of photography, developing strategies, supporting charities, different philosophies.",0.1727126,male,43,Operations Manager,secure;organized;generous;unconventional,photography;developing strategies;supporting charities;different philosophies,"['Ian Hunter', 'Ryder McKinney', 'Ty Bell', 'Christopher Bryant']"
338,Aiden Soto,"Aiden Soto is a 33-year-old female Physicist who is curious, energetic, reliable, calm, empathetic, and has interests of debates, exploring new places, studying, baking, empowering others.",0.0893142,female,33,Physicist,curious;energetic;reliable;calm;empathetic,debates;exploring new places;studying;baking;empowering others,"['Abigail Morales', 'Miles Rose', 'Mila Larson', 'Lucia Franklin', 'Julia Castillo']"
393,Jeremiah Wallace,"Jeremiah Wallace is a 22-year-old male Shipping Manager who is unflappable, warm, curious, outgoing, and has interests of knitting, promoting positivity, inventing, going to parties.",0.367818,male,22,Shipping Manager,unflappable;warm;curious;outgoing,knitting;promoting positivity;inventing;going to parties,"['Miles Rose', 'Josiah Fleming', 'Thomas Harris']"
969,Lacey Bryant,"Lacey Bryant is a 47-year-old male Broadcast Journalist who is open-minded, enthusiastic, secure, responsible, cooperative, and has interests of attending art galleries, running, baking, goal setting, fundraising.",-0.2410594,male,47,Broadcast Journalist,open-minded;enthusiastic;secure;responsible;cooperative,attending art galleries;running;baking;goal setting;fundraising,"['Lila Jackson', 'Callan Huffman', 'Warren Moreno', 'Miles Russell']"
774,Finn Stevens,"Finn Stevens is a 43-year-old male Pharmacist who is calm, broad-minded, warm, efficient, assertive, and has interests of painting, new languages, community service, budgeting, meeting new people.",-0.0321064,male,43,Pharmacist,calm;broad-minded;warm;efficient;assertive,painting;new languages;community service;budgeting;meeting new people,"['Ian Hunter', 'Quincy Brooks']"
513,Marlowe Kim,"Marlowe Kim is a 37-year-old female Financial Manager who is broad-minded, grounded, outgoing, and has interests of designing, fishing, hiking.",0.049763,female,37,Financial Manager,broad-minded;grounded;outgoing,designing;fishing;hiking,"['Lucas Bush', 'Damian Huffman', 'Khalil Shaw', 'Rowan Murphy', 'Ty Bell']"
596,Amaya Wood,"Amaya Wood is a 41-year-old male Cloud Engineer who is imaginative, balanced, understanding, reliable, and has interests of different philosophies, gardening, organizing events, developing strategies.",0.1343467,male,41,Cloud Engineer,imaginative;balanced;understanding;reliable,different philosophies;gardening;organizing events;developing strategies,"['Ian Hunter', 'Finnian Tucker']"
442,Sebastian Ward,"Sebastian Ward is a 56-year-old female Radiologic Technologist who is trustworthy, unconventional, methodical, resilient, and has interests of participating in group activities, new technology, budgeting, nature walks.",-0.0275451,female,56,Radiologic Technologist,trustworthy;unconventional;methodical;resilient,participating in group activities;new technology;budgeting;nature walks,"['Miles Rose', 'Gideon Martin', 'Alexander Hart']"
222,Makayla Snyder,"Makayla Snyder is a 20-year-old female Journalist who is creative, warm, assertive, thorough, and has interests of participating in hackathons, empowering others, meeting new people, maintaining cleanliness.",-0.0132637,female,20,Journalist,creative;warm;assertive;thorough,participating in hackathons;empowering others;meeting new people;maintaining cleanliness,"['Quincy Brooks', 'Damian May']"
856,Khalil Shaw,"Khalil Shaw is a 46-year-old male Financial Manager who is friendly, original, thorough, resilient, and has interests of dancing, attending art galleries, documenting progress, watching movies.",-0.0451675,male,46,Financial Manager,friendly;original;thorough;resilient,dancing;attending art galleries;documenting progress;watching movies,"['Lyric Luna', 'Marlowe Kim', 'Nora Hale']"
839,Isaac Santiago,"Isaac Santiago is a 25-year-old male Chemist who is original, kind, adventurous, relaxed, and has interests of debates, organizing events, running, birdwatching.",0.2821349,male,25,Chemist,original;kind;adventurous;relaxed,debates;organizing events;running;birdwatching,"['Miles Rose', 'Tatum Rodriguez']"
210,Grace Day,"Grace Day is a 18-year-old female Hotel Manager who is compassionate, innovative, resilient, reliable, and has interests of mediating conflicts, new cuisines, reading, tracking progress.",0.2341004,female,18,Hotel Manager,compassionate;innovative;resilient;reliable,mediating conflicts;new cuisines;reading;tracking progress,"['Abigail Morales', 'Adam Diaz', 'Mila Larson', 'Dahlia Hamilton']"
155,Lucy Bailey,"Lucy Bailey is a 36-year-old male Bartender who is detail-oriented, grounded, compassionate, versatile, and has interests of creating schedules, running, community service, diverse literature.",-0.1577057,male,36,Bartender,detail-oriented;grounded;compassionate;versatile,creating schedules;running;community service;diverse literature,"['Ian Hunter', 'Amaya Thomas']"
282,Skylar Luna,"Skylar Luna is a 52-year-old female Event Planner who is detail-oriented, relaxed, open-minded, generous, and has interests of studying, baking, inventing, spreading kindness.",0.114684,female,52,Event Planner,detail-oriented;relaxed;open-minded;generous,studying;baking;inventing;spreading kindness,"['Ian Hunter', 'Adam Diaz', 'Novah Sanders', 'Marley Cook']"
71,Novah Haynes,"Novah Haynes is a 50-year-old female UX/UI Designer who is compassionate, efficient, innovative, relaxed, friendly, and has interests of fundraising, tracking progress, new cuisines, watching movies, playing team sports.",0.36652,female,50,UX/UI Designer,compassionate;efficient;innovative;relaxed;friendly,fundraising;tracking progress;new cuisines;watching movies;playing team sports,"['Finnian Tucker', 'Tessa Mendez']"
616,Aria Riley,"Aria Riley is a 47-year-old female Forensic Analyst who is relaxed, assertive, warm, and has interests of photography, hiking, mentoring.",-0.1765465,female,47,Forensic Analyst,relaxed;assertive;warm,photography;hiking;mentoring,"['Ian Hunter', 'Tessa Mendez']"
741,Mila Larson,"Mila Larson is a 45-year-old male Writer who is disciplined, open-minded, empathetic, level-headed, enthusiastic, and has interests of developing strategies, debates, collaborating on projects, meditation, cooking.",0.1297847,male,45,Writer,disciplined;open-minded;empathetic;level-headed;enthusiastic,developing strategies;debates;collaborating on projects;meditation;cooking,"['Aiden Soto', 'Grace Day']"
465,Harper Stanley,"Harper Stanley is a 73-year-old male Filmmaker who is adventurous, cooperative, relaxed, and has interests of socializing, joining social causes, meditation.",0.0629183,male,73,Filmmaker,adventurous;cooperative;relaxed,socializing;joining social causes;meditation,"['Abigail Morales', 'Adam Diaz', 'Khalil Elliott', 'Carter Kennedy', 'Harper Haynes', 'Rhys Stephens2']"
158,Arthur Myers,"Arthur Myers is a 57-year-old female Operations Manager who is punctual, compassionate, unconventional, secure, friendly, and has interests of meeting deadlines, counseling, diverse literature, playing musical instruments, attending meetups.",0.435542,female,57,Operations Manager,punctual;compassionate;unconventional;secure;friendly,meeting deadlines;counseling;diverse literature;playing musical instruments;attending meetups,"['Ian Hunter', 'Damian Huffman', 'Danica Gray', 'Micah Cole', 'Amara Bell']"
47,Bella Perez,"Bella Perez is a 25-year-old male Educational Administrator who is lively, grounded, open-minded, organized, friendly, and has interests of attending concerts, hiking, exploring music genres, goal setting, fundraising.",-0.0448908,male,25,Educational Administrator,lively;grounded;open-minded;organized;friendly,attending concerts;hiking;exploring music genres;goal setting;fundraising,"['Alina Rice', 'Ryder McKinney']"
323,Khalil Elliott,"Khalil Elliott is a 63-year-old male Database Administrator who is calm, original, outgoing, warm, and has interests of listening to music, new cultures, running, supporting charities.",0.1282928,male,63,Database Administrator,calm;original;outgoing;warm,listening to music;new cultures;running;supporting charities,"['Finnian Tucker', 'Harper Stanley', 'Novah Sanders']"
45,Rowan Murphy,"Rowan Murphy is a 46-year-old male Database Administrator who is imaginative, lively, reliable, and has interests of creating art, cooking, time management.",0.1194464,male,46,Database Administrator,imaginative;lively;reliable,creating art;cooking;time management,"['Quincy Brooks', 'Marlowe Kim']"
388,Carter Kennedy,"Carter Kennedy is a 32-year-old female Physician who is generous, adventurous, unflappable, and has interests of teaching, new technology, nature walks.",-0.0374516,female,32,Physician,generous;adventurous;unflappable,teaching;new technology;nature walks,"['Harper Stanley', 'Alina Rice']"
29,Samara Vasquez,"Samara Vasquez is a 26-year-old male Public Relations Specialist who is efficient, grounded, outgoing, and has interests of implementing systems, cooking, partying.",0.2695234,male,26,Public Relations Specialist,efficient;grounded;outgoing,implementing systems;cooking;partying,"['Damian Huffman', 'Gideon Martin']"
651,Micah Freeman,"Micah Freeman is a 26-year-old male Chef who is resilient, kind, versatile, and has interests of listening to music, participating in group activities, exploring.",0.20149,male,26,Chef,resilient;kind;versatile,listening to music;participating in group activities;exploring,"['Amaya Thomas', 'Gideon Martin']"
326,Isla Burton,"Isla Burton is a 39-year-old female Occupational Therapist who is unflappable, diligent, versatile, friendly, and has interests of painting, analyzing data, writing, volunteering.",-0.281984,female,39,Occupational Therapist,unflappable;diligent;versatile;friendly,painting;analyzing data;writing;volunteering,"['Ian Hunter', 'Lyric Luna', 'Alexander Hart', 'Hunter Bennett', 'Sienna Washington']"
627,Thomas Harris,"Thomas Harris is a 63-year-old male Data Scientist who is secure, diligent, friendly, and has interests of cooking, following routines, supporting charities.",-0.1997099,male,63,Data Scientist,secure;diligent;friendly,cooking;following routines;supporting charities,"['Ryder McKinney', 'Jeremiah Wallace']"
397,Lucia Franklin,"Lucia Franklin is a 40-year-old female Photographer who is friendly, versatile, relaxed, friendly, and has interests of collaborating on projects, designing, listening to music, attending festivals.",0.0247798,female,40,Photographer,friendly;versatile;relaxed;friendly,collaborating on projects;designing;listening to music;attending festivals,"['Aiden Soto', 'Natalie Moreno', 'Kingston Edwards']"
529,Soren Robinson,"Soren Robinson is a 29-year-old male Astronomer who is trustworthy, relaxed, reliable, creative, talkative, and has interests of participating in group activities, running, learning new skills, new languages, exploring new places.",0.3407609,male,29,Astronomer,trustworthy;relaxed;reliable;creative;talkative,participating in group activities;running;learning new skills;new languages;exploring new places,"['Ian Hunter', 'Damian Huffman']"
187,Charles Ferguson,"Charles Ferguson is a 33-year-old male Special Education Teacher who is adventurous, unflappable, organized, and has interests of attending concerts, reading, studying.",-0.1447196,male,33,Special Education Teacher,adventurous;unflappable;organized,attending concerts;reading;studying,"['Ian Hunter', 'Scarlett Peters', 'Danica Gray']"
303,Kade Neal,"Kade Neal is a 49-year-old female Graphic Designer who is innovative, friendly, responsible, and has interests of exploring music genres, socializing, documenting progress.",-0.0161147,female,49,Graphic Designer,innovative;friendly;responsible,exploring music genres;socializing;documenting progress,"['Quincy Brooks', 'Miles Rose', 'Miles Hale']"
314,Novah Sanders,"Novah Sanders is a 46-year-old female Sculptor who is compassionate, composed, creative, and has interests of fundraising, playing musical instruments, inventing.",0.2291662,female,46,Sculptor,compassionate;composed;creative,fundraising;playing musical instruments;inventing,"['Khalil Elliott', 'Skylar Luna']"
788,Gideon Carlson,"Gideon Carlson is a 67-year-old female Physicist who is confident, imaginative, trustworthy, responsible, level-headed, and has interests of going to parties, virtual reality, supporting charities, goal setting, listening to music.",-0.2032723,female,67,Physicist,confident;imaginative;trustworthy;responsible;level-headed,going to parties;virtual reality;supporting charities;goal setting;listening to music,"['Aaliyah Stone', 'Quincy Brooks', 'Eli Swanson7']"
562,Lily Graves,"Lily Graves is a 39-year-old male Operations Manager who is resilient, empathetic, methodical, adventurous, creative, and has interests of playing musical instruments, fundraising, goal setting, shopping, writing.",-0.0297609,male,39,Operations Manager,resilient;empathetic;methodical;adventurous;creative,playing musical instruments;fundraising;goal setting;shopping;writing,"['Adam Diaz', 'Aaliyah Stone']"
30,Danica Gray,"Danica Gray is a 26-year-old female Air Traffic Controller who is imaginative, generous, grounded, reliable, talkative, and has interests of attending workshops, building relationships, birdwatching, learning new skills, shopping.",0.0849168,female,26,Air Traffic Controller,imaginative;generous;grounded;reliable;talkative,attending workshops;building relationships;birdwatching;learning new skills;shopping,"['Arthur Myers', 'Charles Ferguson', 'Bella Payne', 'Peter King']"
563,Amira Morgan,"Amira Morgan is a 53-year-old female Sales Executive who is talkative, warm, calm, responsible, original, and has interests of cooking, joining social causes, gardening, time management, designing.",-0.0729686,female,53,Sales Executive,talkative;warm;calm;responsible;original,cooking;joining social causes;gardening;time management;designing,"['Adam Diaz', 'Miles Rose']"
603,Josiah Davis,"Josiah Davis is a 27-year-old female Database Administrator who is cooperative, open-minded, responsible, confident, relaxed, and has interests of mentoring, new languages, setting priorities, participating in group activities, meditation.",-0.0483277,female,27,Database Administrator,cooperative;open-minded;responsible;confident;relaxed,mentoring;new languages;setting priorities;participating in group activities;meditation,"['Abigail Morales', 'Ian Hunter']"
655,Marley Cook,"Marley Cook is a 36-year-old female Air Traffic Controller who is unconventional, relaxed, punctual, considerate, and has interests of attending workshops, hiking, researching, helping others.",-0.1032509,female,36,Air Traffic Controller,unconventional;relaxed;punctual;considerate,attending workshops;hiking;researching;helping others,"['Quincy Brooks', 'Skylar Luna', 'Addison Matthews', 'Miles Russell']"
680,Alexander Hart,"Alexander Hart is a 23-year-old male UX/UI Designer who is open-minded, outgoing, compassionate, calm, thorough, and has interests of participating in hackathons, cooking, attending community meetings, listening to music, developing strategies.",0.2245837,male,23,UX/UI Designer,open-minded;outgoing;compassionate;calm;thorough,participating in hackathons;cooking;attending community meetings;listening to music;developing strategies,"['Isla Burton', 'Sebastian Ward']"
118,Warren Moreno,"Warren Moreno is a 26-year-old female Account Executive who is energetic, reliable, calm, warm, and has interests of hiking, documenting progress, watching movies, organizing events.",0.0631207,female,26,Account Executive,energetic;reliable;calm;warm,hiking;documenting progress;watching movies;organizing events,"['Ian Hunter', 'Lacey Bryant']"
253,Micah Cole,"Micah Cole is a 49-year-old female Instructional Designer who is broad-minded, balanced, talkative, compassionate, diligent, and has interests of attending art galleries, meditation, exploring new places, mediating conflicts, implementing systems.",-0.1585492,female,49,Instructional Designer,broad-minded;balanced;talkative;compassionate;diligent,attending art galleries;meditation;exploring new places;mediating conflicts;implementing systems,"['Lila Jackson', 'Arthur Myers']"
641,Bella Payne,"Bella Payne is a 31-year-old female Curriculum Developer who is calm, kind, reliable, and has interests of meditation, teaching, organizing.",0.249461,female,31,Curriculum Developer,calm;kind;reliable,meditation;teaching;organizing,"['Danica Gray', 'Tessa Mendez']"
16,Peter King,"Peter King is a 40-year-old male Astronomer who is curious, level-headed, sociable, friendly, methodical, and has interests of writing, baking, cooking, spreading kindness, meeting deadlines.",0.3342248,male,40,Astronomer,curious;level-headed;sociable;friendly;methodical,writing;baking;cooking;spreading kindness;meeting deadlines,"['Danica Gray', 'Quincy Brooks', 'Thomas Barber']"
703,Rex Payne,"Rex Payne is a 62-year-old female Event Planner who is confident, balanced, punctual, and has interests of participating in group activities, running, time management.",-0.0983855,female,62,Event Planner,confident;balanced;punctual,participating in group activities;running;time management,"['Adam Diaz', 'Josiah Fleming']"
